OrderID,OrderDate,CustomerID,City,Region,Category,MarbleType,Finish,Thickness_mm,Quantity_sqft,UnitPrice_PKR,Discount_pct,TotalAmount_PKR,PaymentMethod,SalesRep,Warehouse,OrderStatus,DeliveryDays
ORD100746,2025-01-25,CUST2740,Gujranwala,Punjab,Marble,Botticino Beige,Polished,22,27.5,136.49,0.0,3753.48,Cash,Bilal Khan,Depot - Lahore,In Transit,13.0
ORD101471,2024-04-20,CUST2958,Gujranwala,Punjab,Granite,Rangeela Marble,Honed,22,50.5,315.29,0.0,15922.14,Cash,Saad Iqbal,Depot - Karachi,Delivered,4.0
ORD101524,2024-08-15,CUST1201,Faisalabad,Punjab,Onyx,Chaghi Golden,Polished,18,34.6,421.55,0.0,14585.63,Cash,Hamza Sheikh,Main Yard - Chiniot,Delivered,7.0
ORD103391,2025-06-10,CUST1207,Quetta,Balochistan,Marble,Chiniot Black,Polished,30,319.7,235.82,10.0,67852.49,Cash,Usman Tariq,Main Yard - Chiniot,In Transit,4.0
ORD104034,2024-04-07,CUST1568,Lahore,Punjab,Marble,Sunny Grey,Polished,20,62.9,228.94,0.0,14400.33,Cash,Saad Iqbal,Depot - Lahore,Pending,5.0
ORD103687,2025-12-27,CUST1393,Lahore,Punjab,Onyx,Ziarat White,Polished,20,117.5,319.94,0.0,37592.95,Bank Transfer,Fahad Malik,Depot - Lahore,Delivered,4.0
ORD102512,2025-03-11,CUST1878,Multan,Punjab,Granite,Sunny Grey,Polished,22,92.9,256.29,0.0,23809.34,Credit (30 days),Usman Tariq,Depot - Karachi,Delivered,5.0
ORD104086,2025-03-02,CUST2880,Peshawar,KPK,Tile,Ziarat White,Leather,20,57.4,86.95,0.0,4990.93,Bank Transfer,Ahmed Raza,Depot - Karachi,Cancelled,8.0
ORD102498,2024-03-14,CUST2524,Islamabad,Federal,Onyx,Ziarat White,Bush Hammered,22,72.4,455.05,0.0,32945.62,Bank Transfer,Usman Tariq,Main Yard - Chiniot,Pending,8.0
ORD100488,2024-06-30,CUST1392,Multan,Punjab,Granite,Multi Red,Leather,18,108.3,239.41,0.0,25928.1,Cash,Usman Tariq,Depot - Karachi,Delivered,4.0
ORD103896,2024-01-28,CUST2518,Quetta,Balochistan,Marble,Buff Marble,Polished,22,80.6,200.71,0.0,16177.23,Cash,Tariq Mehmood,Depot - Multan,Pending,6.0
ORD100282,2025-10-26,CUST1045,Gujranwala,Punjab,Marble,Sunny Grey,Honed,30,275.3,222.99,0.0,61389.15,Credit (30 days),Hamza Sheikh,Depot - Multan,Pending,6.0
ORD104143,2024-11-30,CUST3176,Sialkot,Punjab,Tile,Multi Red,Polished,22,197.3,93.06,10.0,16524.66,Bank Transfer,Tariq Mehmood,Depot - Multan,Cancelled,8.0
ORD103961,2024-06-01,CUST1794,Rawalpindi,Punjab,Onyx,Multi Red,Honed,16,51.7,306.14,10.0,14244.69,Cash,Usman Tariq,Depot - Lahore,In Transit,11.0
ORD100616,2024-04-06,CUST1968,Lahore,Punjab,Tile,Chiniot Black,Polished,20,365.7,60.08,0.0,21971.26,Cash,Hamza Sheikh,Depot - Karachi,Delivered,5.0
ORD101093,2024-12-24,CUST1939,Faisalabad,Punjab,Marble,Chiniot Black,Polished,30,49.3,155.55,5.0,7285.18,Cash,Usman Tariq,Main Yard - Chiniot,Delivered,7.0
ORD100757,2024-12-30,CUST2560,Karachi,Sindh,Marble,Indus Green,Honed,30,38.8,223.58,0.0,8674.9,Cheque,Bilal Khan,Main Yard - Chiniot,Delivered,10.0
ORD100064,2025-04-07,CUST1634,Lahore,Punjab,Marble,Black Galaxy,Polished,18,146.9,171.47,0.0,25188.94,Bank Transfer,Hamza Sheikh,Depot - Multan,Delivered,8.0
ORD100750,2024-01-24,CUST1195,Lahore,Punjab,Marble,Teri White,Honed,16,30.2,167.77,10.0,4559.99,Bank Transfer,Bilal Khan,Depot - Lahore,Delivered,7.0
ORD103619,2025-02-16,CUST1592,Karachi,Sindh,Marble,Sunny Grey,Polished,22,246.4,188.02,10.0,41695.32,Cash,Bilal Khan,Depot - Lahore,Delivered,11.0
ORD100208,2025-10-27,CUST2652,Chiniot,Punjab,Marble,Teri White,Polished,20,51.8,203.71,0.0,10552.18,Credit (30 days),Ahmed Raza,Depot - Karachi,Delivered,8.0
ORD100127,2025-04-18,CUST2587,Islamabad,Federal,Marble,Chaghi Golden,Leather,20,146.6,235.39,0.0,34508.17,Cash,Fahad Malik,Main Yard - Chiniot,Delivered,8.0
ORD101351,2024-12-17,CUST1140,Gujranwala,Punjab,Marble,Teri White,Leather,20,237.8,196.27,0.0,46673.01,Cheque,Hamza Sheikh,Main Yard - Chiniot,Delivered,5.0
ORD101615,2024-03-05,CUST1539,Chiniot,Punjab,Tile,Emperador Brown,Flamed,22,103.4,81.1,0.0,8385.74,Cheque,Tariq Mehmood,Depot - Karachi,Delivered,10.0
ORD103040,2024-03-12,CUST1596,Karachi,Sindh,Marble,Black Galaxy,Flamed,30,26.6,208.08,0.0,5534.93,Bank Transfer,Usman Tariq,Main Yard - Chiniot,In Transit,6.0
ORD100806,2025-08-07,CUST2525,Gujranwala,Punjab,Granite,Teri White,Polished,30,26.9,244.88,5.0,6257.91,Cheque,Usman Tariq,Depot - Lahore,Pending,5.0
ORD103573,2025-09-23,CUST2047,Gujranwala,Punjab,Marble,Buff Marble,Polished,20,111.8,224.78,0.0,25130.4,Cash,Tariq Mehmood,Depot - Multan,Delivered,9.0
ORD100545,2024-07-06,CUST3079,Mianwali,Punjab,Marble,Chiniot Black,Honed,18,45.3,185.09,0.0,8384.58,Bank Transfer,Zain Abbas,Depot - Multan,Pending,9.0
ORD101465,2025-04-02,CUST2598,Chiniot,Punjab,Marble,Multi Red,Polished,20,176.8,140.79,10.0,22402.5,Bank Transfer,Ahmed Raza,Main Yard - Chiniot,Pending,5.0
ORD104435,2024-10-21,CUST1225,Gujranwala,Punjab,Onyx,Chiniot Black,Honed,16,494.0,471.91,0.0,233123.54,Cash,Bilal Khan,Depot - Karachi,Pending,6.0
ORD104172,2025-05-28,CUST2403,Sialkot,Punjab,Marble,Black Galaxy,Polished,16,342.2,170.75,0.0,58430.65,Bank Transfer,Tariq Mehmood,Depot - Multan,Pending,3.0
ORD103106,2024-12-09,CUST1244,Sialkot,Punjab,Marble,Sunny Grey,Polished,30,99.2,178.49,0.0,17706.21,Cash,Usman Tariq,Main Yard - Chiniot,In Transit,8.0
ORD101999,2024-12-31,CUST2928,Peshawar,KPK,Onyx,Rangeela Marble,Polished,22,123.3,441.35,0.0,54418.46,Bank Transfer,Tariq Mehmood,Main Yard - Chiniot,Delivered,3.0
ORD103615,2024-04-08,CUST2543,Chiniot,Punjab,Marble,Ziarat White,Polished,20,116.2,162.9,0.0,18928.98,Credit (30 days),Ahmed Raza,Depot - Karachi,Cancelled,9.0
ORD100196,2024-10-30,CUST1629,Quetta,Balochistan,Granite,Chaghi Golden,Polished,18,146.4,246.04,5.0,34219.24,Bank Transfer,Zain Abbas,Depot - Karachi,Pending,8.0
ORD104229,2024-07-04,CUST2537,Karachi,Sindh,Marble,Multi Red,Polished,22,109.4,164.46,0.0,17991.92,Cash,Zain Abbas,Main Yard - Chiniot,Pending,6.0
ORD102321,2025-06-03,CUST2108,Faisalabad,Punjab,Marble,Chiniot Black,Honed,22,31.5,199.61,0.0,6287.72,Bank Transfer,Zain Abbas,Depot - Lahore,Delivered,5.0
ORD104599,2024-09-11,CUST1853,Faisalabad,Punjab,Marble,Ziarat White,Honed,22,276.7,212.4,15.0,49955.42,Credit (30 days),Tariq Mehmood,Depot - Karachi,Delivered,6.0
ORD104733,2024-12-30,CUST2109,Quetta,Balochistan,Marble,Teri White,Polished,30,81.7,214.71,15.0,14910.54,Bank Transfer,Bilal Khan,Depot - Karachi,Pending,8.0
ORD101023,2024-11-11,CUST3454,Peshawar,KPK,Onyx,Chaghi Golden,Polished,22,205.6,419.08,0.0,86162.85,Credit (30 days),Ahmed Raza,Main Yard - Chiniot,Pending,6.0
ORD104709,2025-06-13,CUST1391,Multan,Punjab,Onyx,Indus Green,Polished,16,111.4,479.16,10.0,48040.58,Cash,Bilal Khan,Depot - Lahore,Pending,5.0
ORD100395,2024-08-31,CUST1306,Lahore,Punjab,Marble,Buff Marble,Polished,22,48.7,148.71,0.0,7242.18,Bank Transfer,Bilal Khan,Depot - Karachi,In Transit,9.0
ORD102294,2025-11-28,CUST3023,Lahore,Punjab,Marble,Teri White,Honed,16,54.2,143.56,0.0,7780.95,Cash,Fahad Malik,Depot - Lahore,Pending,11.0
ORD103747,2025-12-29,CUST1746,Karachi,Sindh,Tile,Sunny Grey,Polished,22,157.3,72.52,5.0,10837.03,Credit (30 days),Saad Iqbal,Depot - Multan,Pending,13.0
ORD101437,2025-03-08,CUST1742,Peshawar,KPK,Onyx,Teri White,Honed,16,44.3,199.12,5.0,8379.97,Credit (30 days),Fahad Malik,Main Yard - Chiniot,Delivered,7.0
ORD101989,2024-10-05,CUST3409,Lahore,Punjab,Granite,Indus Green,Leather,30,65.0,305.91,0.0,19884.15,Bank Transfer,Bilal Khan,Depot - Lahore,Cancelled,3.0
ORD104975,2025-09-03,CUST2440,Gujranwala,Punjab,Marble,Teri White,Honed,16,49.8,148.54,0.0,7397.29,Credit (30 days),Saad Iqbal,Depot - Karachi,In Transit,10.0
ORD101109,2025-10-24,CUST1248,Peshawar,KPK,Tile,Botticino Beige,Leather,16,198.7,64.67,0.0,12849.93,Cash,Tariq Mehmood,Depot - Multan,Delivered,4.0
ORD101142,2024-12-06,CUST1815,Faisalabad,Punjab,Granite,Rangeela Marble,Polished,18,55.9,297.36,0.0,16622.42,Credit (30 days),Bilal Khan,Main Yard - Chiniot,Delivered,6.0
ORD100833,2025-06-20,CUST1508,Lahore,Punjab,Marble,Multi Red,Polished,20,116.5,162.65,0.0,18948.73,Bank Transfer,Tariq Mehmood,Depot - Karachi,Pending,9.0
ORD100467,2025-08-04,CUST1245,Rawalpindi,Punjab,Onyx,Chiniot Black,Polished,16,181.5,332.36,0.0,60323.34,Credit (30 days),Tariq Mehmood,Depot - Multan,Delivered,10.0
ORD104769,2025-01-14,CUST1511,Mianwali,Punjab,Tile,Chiniot Black,Flamed,30,153.2,108.32,0.0,16594.62,Bank Transfer,Hamza Sheikh,Depot - Karachi,Cancelled,3.0
ORD100858,2025-10-27,CUST2464,Lahore,Punjab,Marble,Rangeela Marble,Polished,18,43.9,186.29,10.0,7360.32,Credit (30 days),Zain Abbas,Depot - Karachi,Delivered,11.0
ORD103369,2024-01-31,CUST3111,Sialkot,Punjab,Granite,Indus Green,Polished,22,20.0,293.73,0.0,5874.6,Credit (30 days),Saad Iqbal,Depot - Lahore,In Transit,10.0
ORD101968,2025-06-30,CUST1266,Sialkot,Punjab,Marble,Botticino Beige,Polished,30,94.1,190.27,0.0,15218.75,Cash,Usman Tariq,Depot - Multan,Delivered,11.0
ORD100038,2025-05-14,CUST3062,Quetta,Balochistan,Onyx,Ziarat White,Polished,20,175.1,397.08,0.0,69528.71,Cash,Zain Abbas,Main Yard - Chiniot,In Transit,8.0
ORD102207,2024-03-11,CUST2087,Rawalpindi,Punjab,Marble,Chaghi Golden,Leather,20,128.8,187.06,0.0,24093.33,Credit (30 days),Bilal Khan,Main Yard - Chiniot,Pending,4.0
ORD102914,2025-11-05,CUST1411,Faisalabad,Punjab,Marble,Sunny Grey,Honed,22,180.6,179.19,0.0,32361.71,Credit (30 days),Tariq Mehmood,Depot - Multan,Delivered,5.0
ORD100198,2024-08-11,CUST1277,Islamabad,Federal,Granite,Emperador Brown,Flamed,18,87.9,280.26,10.0,22171.37,Cash,Usman Tariq,Depot - Karachi,Delivered,8.0
ORD100775,2025-07-29,CUST2040,Rawalpindi,Punjab,Tile,Indus Green,Honed,30,55.5,118.78,0.0,6592.29,Cheque,Ahmed Raza,Main Yard - Chiniot,Delivered,7.0
ORD102767,2025-10-13,CUST1005,Chiniot,Punjab,Marble,Ziarat White,Honed,18,61.8,191.41,0.0,11829.14,Cheque,Hamza Sheikh,Depot - Karachi,Pending,4.0
ORD104951,2024-04-19,CUST2078,Multan,Punjab,Tile,Multi Red,Polished,16,221.6,79.86,0.0,17696.98,Cash,Ahmed Raza,Depot - Karachi,In Transit,6.0
ORD101458,2025-09-27,CUST2894,Rawalpindi,Punjab,Onyx,Indus Green,Polished,30,198.7,436.06,5.0,82312.87,Bank Transfer,Saad Iqbal,Depot - Multan,Delivered,4.0
ORD102329,2024-01-13,CUST1617,Rawalpindi,Punjab,Marble,Rangeela Marble,Flamed,30,83.9,208.68,0.0,17508.25,Cheque,Tariq Mehmood,Depot - Lahore,Delivered,10.0
ORD104296,2025-01-18,CUST1955,Mianwali,Punjab,Granite,Sunny Grey,Polished,22,55.6,359.55,10.0,17991.88,Cash,Zain Abbas,Depot - Lahore,In Transit,11.0
ORD101346,2024-04-09,CUST3472,Faisalabad,Punjab,Marble,Black Galaxy,Polished,16,263.8,128.42,0.0,33877.2,Cash,Usman Tariq,Depot - Lahore,Delivered,8.0
ORD100410,2024-08-22,CUST3127,Mianwali,Punjab,Marble,Emperador Brown,Polished,16,20.0,191.3,0.0,3826.0,Cash,Zain Abbas,Depot - Multan,Delivered,6.0
ORD100105,2025-11-18,CUST3243,Peshawar,KPK,Marble,Botticino Beige,Flamed,20,150.3,160.29,15.0,20477.85,Credit (30 days),Zain Abbas,Main Yard - Chiniot,Cancelled,8.0
ORD101708,2025-09-08,CUST1907,Islamabad,Federal,Marble,Chaghi Golden,Polished,20,112.0,210.52,0.0,23578.24,Cheque,Saad Iqbal,Depot - Multan,Cancelled,6.0
ORD103087,2024-03-02,CUST1664,Karachi,Sindh,Onyx,Rangeela Marble,Polished,18,356.1,461.74,10.0,147983.05,Bank Transfer,Fahad Malik,Depot - Lahore,In Transit,8.0
ORD100675,2025-06-02,CUST2758,Peshawar,KPK,Granite,Multi Red,Polished,18,195.1,220.04,0.0,42929.8,Bank Transfer,Tariq Mehmood,Depot - Lahore,Delivered,9.0
ORD103207,2024-05-05,CUST3268,Peshawar,KPK,Marble,Chaghi Golden,Flamed,30,84.4,206.14,0.0,17398.22,Bank Transfer,Tariq Mehmood,Depot - Multan,Delivered,9.0
ORD101698,2024-08-19,CUST2251,Gujranwala,Punjab,Marble,Multi Red,Polished,16,130.2,179.68,10.0,21054.9,Credit (30 days),Saad Iqbal,Depot - Karachi,Cancelled,5.0
ORD103344,2025-02-01,CUST3210,Faisalabad,Punjab,Marble,Chaghi Golden,Flamed,16,53.7,140.12,0.0,7524.44,Credit (30 days),Tariq Mehmood,Main Yard - Chiniot,Delivered,5.0
ORD103402,2025-01-02,CUST3437,Mianwali,Punjab,Marble,Buff Marble,Leather,30,105.1,241.48,0.0,25379.55,Bank Transfer,Fahad Malik,Main Yard - Chiniot,Pending,3.0
ORD101545,2024-05-20,CUST2483,Peshawar,KPK,Granite,Chaghi Golden,Polished,16,414.6,283.98,0.0,117738.11,Credit (30 days),Zain Abbas,Depot - Multan,Delivered,6.0
ORD100029,2024-04-20,CUST3280,Chiniot,Punjab,Marble,Rangeela Marble,Honed,22,53.7,172.77,0.0,9277.75,Cash,Hamza Sheikh,Depot - Multan,Delivered,5.0
ORD102128,2024-05-11,CUST1554,Quetta,Balochistan,Marble,Buff Marble,Polished,22,25.2,189.16,5.0,4528.49,Credit (30 days),Fahad Malik,Main Yard - Chiniot,Delivered,7.0
ORD102309,2025-12-04,CUST3331,Faisalabad,Punjab,Onyx,Sunny Grey,Polished,18,298.1,519.41,0.0,154836.12,Cash,Fahad Malik,Depot - Karachi,Pending,7.0
ORD104827,2024-03-14,CUST2757,Rawalpindi,Punjab,Tile,Emperador Brown,Polished,20,75.0,90.49,15.0,5768.74,Cash,Fahad Malik,Depot - Multan,Delivered,6.0
ORD102981,2025-04-02,CUST2417,Faisalabad,Punjab,Tile,Indus Green,Leather,20,67.5,62.14,0.0,4194.45,Credit (30 days),Ahmed Raza,Depot - Lahore,Delivered,10.0
ORD104347,2024-07-08,CUST2057,Karachi,Sindh,Granite,Indus Green,Polished,18,69.1,311.69,10.0,19384.0,Cash,Hamza Sheikh,Main Yard - Chiniot,In Transit,5.0
ORD104437,2025-10-05,CUST2917,Faisalabad,Punjab,Granite,Black Galaxy,Honed,22,31.5,254.92,0.0,8029.98,Cash,Usman Tariq,Depot - Lahore,In Transit,7.0
ORD104005,2024-06-14,CUST1846,Rawalpindi,Punjab,Granite,Ziarat White,Polished,30,247.2,324.7,0.0,80265.84,Bank Transfer,Hamza Sheikh,Depot - Lahore,Pending,7.0
ORD101730,2024-04-18,CUST2191,Islamabad,Federal,Marble,Ziarat White,Polished,22,260.3,247.24,0.0,64356.57,Cheque,Tariq Mehmood,Depot - Karachi,Delivered,10.0
ORD103458,2025-03-21,CUST3067,Islamabad,Federal,Tile,Rangeela Marble,Polished,16,95.2,59.28,0.0,5643.46,Bank Transfer,Hamza Sheikh,Depot - Lahore,Delivered,12.0
ORD102110,2025-05-07,CUST1759,Multan,Punjab,Tile,Botticino Beige,Polished,30,236.1,93.73,15.0,18810.21,Credit (30 days),Tariq Mehmood,Main Yard - Chiniot,Cancelled,6.0
ORD102534,2024-12-03,CUST1103,Faisalabad,Punjab,Granite,Emperador Brown,Leather,20,235.0,265.44,0.0,62378.4,Cash,Usman Tariq,Main Yard - Chiniot,Pending,10.0
ORD100726,2024-02-13,CUST2508,Faisalabad,Punjab,Marble,Emperador Brown,Polished,30,343.6,171.0,0.0,58755.6,Cash,Hamza Sheikh,Depot - Karachi,In Transit,7.0
ORD101624,2024-09-10,CUST2983,Sialkot,Punjab,Tile,Emperador Brown,Flamed,30,55.9,87.58,0.0,4895.72,Credit (30 days),Tariq Mehmood,Depot - Multan,Pending,3.0
ORD103749,2025-07-03,CUST3086,Peshawar,KPK,Granite,Botticino Beige,Polished,22,42.6,301.76,0.0,12854.98,Cash,Hamza Sheikh,Depot - Lahore,Cancelled,8.0
ORD100865,2025-04-25,CUST2350,Islamabad,Federal,Tile,Buff Marble,Polished,22,39.4,83.81,0.0,3302.11,Bank Transfer,Fahad Malik,Depot - Lahore,Delivered,8.0
ORD102049,2025-11-28,CUST1812,Islamabad,Federal,Marble,Rangeela Marble,Polished,30,258.8,250.22,0.0,64756.94,Bank Transfer,Bilal Khan,Depot - Multan,Delivered,7.0
ORD102576,2025-02-01,CUST1985,Islamabad,Federal,Marble,Emperador Brown,Flamed,20,20.0,203.43,0.0,4068.6,Credit (30 days),Ahmed Raza,Depot - Multan,Delivered,5.0
ORD102242,2024-12-21,CUST2091,Faisalabad,Punjab,Marble,Ziarat White,Polished,16,132.6,148.66,0.0,19712.32,Cash,Zain Abbas,Depot - Multan,Pending,7.0
ORD103098,2025-11-22,CUST1752,Multan,Punjab,Granite,Black Galaxy,Polished,30,185.6,303.72,0.0,56370.43,Cash,Bilal Khan,Depot - Multan,Pending,3.0
ORD101746,2025-08-04,CUST2833,Islamabad,Federal,Marble,Botticino Beige,Polished,18,36.9,169.25,0.0,6245.32,Credit (30 days),Usman Tariq,Depot - Lahore,Delivered,14.0
ORD102849,2025-02-02,CUST2319,Peshawar,KPK,Tile,Teri White,Polished,30,96.8,121.52,10.0,10586.82,Bank Transfer,Bilal Khan,Depot - Lahore,In Transit,9.0
ORD101591,2024-06-26,CUST1937,Faisalabad,Punjab,Granite,Indus Green,Leather,22,41.3,240.26,0.0,9922.74,Bank Transfer,Zain Abbas,Depot - Karachi,Delivered,9.0
ORD100860,2024-06-26,CUST2462,Lahore,Punjab,Tile,Sunny Grey,Polished,22,136.5,109.61,0.0,14961.76,Bank Transfer,Zain Abbas,Depot - Lahore,Pending,6.0
ORD101120,2024-03-10,CUST2692,Rawalpindi,Punjab,Marble,Sunny Grey,Polished,20,66.9,149.0,0.0,9968.1,Cash,Hamza Sheikh,Depot - Multan,Delivered,6.0
ORD103833,2024-01-27,CUST3457,Karachi,Sindh,Marble,Chiniot Black,Polished,22,87.2,172.72,0.0,15061.18,Cash,Bilal Khan,Main Yard - Chiniot,Cancelled,8.0
ORD101392,2024-09-20,CUST1620,Quetta,Balochistan,Granite,Botticino Beige,Bush Hammered,30,44.8,203.93,15.0,7765.65,Credit (30 days),Usman Tariq,Main Yard - Chiniot,Delivered,7.0
ORD103128,2024-11-24,CUST1280,Islamabad,Federal,Marble,Ziarat White,Polished,30,142.5,213.6,0.0,30438.0,Bank Transfer,Zain Abbas,Main Yard - Chiniot,Pending,9.0
ORD104311,2025-01-23,CUST3385,Mianwali,Punjab,Tile,Chiniot Black,Bush Hammered,30,144.6,110.09,0.0,15919.01,Cheque,Usman Tariq,Depot - Lahore,Cancelled,10.0
ORD104807,2025-11-05,CUST3057,Gujranwala,Punjab,Granite,Chaghi Golden,Polished,22,166.4,269.2,0.0,44794.88,Cheque,Zain Abbas,Depot - Multan,Cancelled,9.0
ORD104885,2024-04-25,CUST2252,Sialkot,Punjab,Marble,Botticino Beige,Leather,30,275.5,175.19,0.0,48264.84,Cash,Tariq Mehmood,Depot - Lahore,Cancelled,5.0
ORD104513,2025-06-28,CUST1028,Gujranwala,Punjab,Marble,Multi Red,Leather,30,83.9,205.62,0.0,17251.52,Cheque,Hamza Sheikh,Depot - Karachi,Pending,3.0
ORD104979,2025-03-11,CUST2317,Gujranwala,Punjab,Granite,Rangeela Marble,Polished,16,106.9,297.06,5.0,30167.93,Cash,Ahmed Raza,Depot - Multan,Delivered,8.0
ORD102903,2025-03-15,CUST3028,Gujranwala,Punjab,Granite,Black Galaxy,Honed,16,114.4,258.69,5.0,28114.43,Credit (30 days),Tariq Mehmood,Depot - Lahore,In Transit,5.0
ORD104838,2024-09-06,CUST2777,Chiniot,Punjab,Tile,Ziarat White,Honed,18,32.9,77.6,15.0,2170.08,Bank Transfer,Hamza Sheikh,Depot - Karachi,Pending,9.0
ORD102583,2025-11-07,CUST2252,Multan,Punjab,Onyx,Teri White,Polished,20,246.6,448.35,0.0,110563.11,Credit (30 days),Hamza Sheikh,Depot - Lahore,In Transit,4.0
ORD103496,2025-10-29,CUST3114,Gujranwala,Punjab,Onyx,Indus Green,Honed,16,175.1,301.93,10.0,47581.15,Bank Transfer,Ahmed Raza,Depot - Karachi,Delivered,3.0
ORD103351,2024-08-15,CUST2100,Multan,Punjab,Tile,Multi Red,Flamed,20,31.4,79.2,0.0,2486.88,Cheque,Tariq Mehmood,Depot - Karachi,Cancelled,12.0
ORD101727,2024-05-13,CUST1104,Islamabad,Federal,Marble,Rangeela Marble,Polished,18,200.1,156.15,0.0,31245.62,Bank Transfer,Tariq Mehmood,Depot - Karachi,Delivered,5.0
ORD101064,2025-09-27,CUST2468,Peshawar,KPK,Granite,Sunny Grey,Polished,20,20.0,204.98,0.0,4099.6,Credit (30 days),Fahad Malik,Depot - Multan,Pending,3.0
ORD101322,2024-02-03,CUST1976,Faisalabad,Punjab,Marble,Botticino Beige,Bush Hammered,20,35.1,155.56,0.0,5460.16,Cheque,Usman Tariq,Depot - Multan,Delivered,9.0
ORD104591,2024-12-06,CUST1057,Rawalpindi,Punjab,Marble,Botticino Beige,Polished,22,239.6,142.49,0.0,34140.6,Cash,Hamza Sheikh,Main Yard - Chiniot,Delivered,7.0
ORD101665,2024-01-02,CUST2247,Chiniot,Punjab,Tile,Chiniot Black,Honed,20,148.7,93.96,0.0,13971.85,Credit (30 days),Usman Tariq,Depot - Multan,Delivered,5.0
ORD103527,2025-11-28,CUST2804,Sialkot,Punjab,Onyx,Chiniot Black,Flamed,30,166.2,406.39,0.0,67542.02,Bank Transfer,Tariq Mehmood,Main Yard - Chiniot,Pending,7.0
ORD103915,2025-09-09,CUST2061,Chiniot,Punjab,Marble,Ziarat White,Polished,22,149.1,184.43,0.0,27498.51,Cash,Saad Iqbal,Depot - Multan,Cancelled,8.0
ORD101398,2025-03-05,CUST2581,Karachi,Sindh,Granite,Multi Red,Flamed,22,224.1,337.52,0.0,75638.23,Credit (30 days),Fahad Malik,Depot - Multan,Cancelled,4.0
ORD102136,2025-06-28,CUST2844,Chiniot,Punjab,Marble,Multi Red,Polished,30,21.0,233.34,0.0,4900.14,Bank Transfer,Bilal Khan,Depot - Karachi,Delivered,7.0
ORD102888,2024-03-28,CUST1641,Mianwali,Punjab,Onyx,Rangeela Marble,Polished,18,27.7,452.68,5.0,11912.27,Cheque,Bilal Khan,Depot - Multan,In Transit,10.0
ORD101059,2025-10-02,CUST2695,Islamabad,Federal,Tile,Chiniot Black,Polished,16,91.0,86.92,0.0,7118.75,Bank Transfer,Tariq Mehmood,Depot - Karachi,Cancelled,12.0
ORD103574,2024-08-01,CUST2459,Sialkot,Punjab,Marble,Chaghi Golden,Honed,30,69.5,206.24,0.0,14333.68,Cash,Hamza Sheikh,Depot - Karachi,Pending,4.0
ORD100058,2024-01-31,CUST3412,Multan,Punjab,Onyx,Buff Marble,Flamed,18,95.2,484.92,0.0,46164.38,Bank Transfer,Tariq Mehmood,Main Yard - Chiniot,Delivered,4.0
ORD103386,2024-12-08,CUST2830,Mianwali,Punjab,Tile,Chiniot Black,Polished,22,184.7,127.03,0.0,23462.44,Cash,Hamza Sheikh,Depot - Lahore,Delivered,8.0
ORD103253,2024-01-13,CUST3058,Quetta,Balochistan,Marble,Buff Marble,Polished,22,22.6,223.12,0.0,5042.51,Credit (30 days),Bilal Khan,Main Yard - Chiniot,Delivered,7.0
ORD104103,2025-01-24,CUST1710,Quetta,Balochistan,Marble,Teri White,Bush Hammered,20,141.4,199.59,0.0,28222.03,Cash,Ahmed Raza,Main Yard - Chiniot,Cancelled,4.0
